CountermeasureID,Countermeasure,Key Stakeholder,Benefit-cost ratio,CMF1,CMF1 Link,Sev1,AreaType1,CrashType1,StarRating1,CMF2,CMF2 Link,Sev2,AreaType2,CrashType2,StarRating2,Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool
treat001,Widen Narrow Pavement,"State DOTs, MPOs, engineering consultants, construction contractors, freight/trucking associations.",2:01,0.705,CMF6865,KABC,Rural,All,5,0.693,CMF6866,ABC,Rural,All,5,"Widening narrow pavement improves traffic flow and capacity, and can accommodate adding features like shoulders, turn lanes, or passing lanes.","Shoulder widening
","Centerline and rumble strips
",Five to six lane conversion,"1. Widen pavement widths on rural highways where lanes are narrow and maneuvering space is limited, particularly in areas with a history of run-off-road or head-on crashes.
2. Pavement widening improves driver comfort and control, allowing safer passage of vehicles and reducing crash risk associated with constrained roadways.
3. Best suited for rural or low-volume roads; avoid where widening could increase speeds on high-speed roads or where right-of-way (ROW), slope stability, or drainage constraints cannot be addressed.","Widening narrow pavement supports the Safe Roads element of the SSA by accommodating human mistakes and vulnerabilities. By adding space through wider lanes or shoulders, it builds redundancy and upholds the principle that death and serious injuries are unacceptable.",Focus widening efforts on rural roads exhibiting narrow lanes combined with high crash rates. Use crash and roadway inventory data to identify segments where narrow pavement contributes most to run-off-road and head-on crashes. Integrate pavement widening with other roadway improvements for cost efficiency and maximum safety benefit.,Roadway Departure,"Run-off-road, Head-on",Reduced maneuvering space,Safe Roads,Tier 1: Remove severe conflicts,Improved Safety management,Keep vehicles from encroaching on the roadside or crossing the median,Apply shoulder treatments (Widen and/or pave shoulders),Not specified,20,Moderate to High,Current,Pavement width; head-on collision reduction; lane expansion; safety improvement
treat002,Add a through lane on both directions and a raised median,"State DOTs, traffic safety engineers, engineering consultants, urban planners, law enforcement agencies.",xx,0.33,CMF7733,KABC,Urban,All,4,0.51,CMF7735,KABC,Rural,All,4,Added through lanes in each direction with a raised central median to improve traffic flow and safety.,Convert 2 L roadway to 4 L divided roadway,Introduce Two-Way Left-Turn Lane on rural roads,Buffered bike lanes,"1. This treatment is best suited for undivided 2-lane highways experiencing high volumes, frequent head-on or opposite-direction run-off-road crashes, and limited safe passing opportunities.
2. A raised median separates opposing flows, channels left-turns to safe crossover points and provides refuge space for pedestrians and other non-motorized users.
3. Avoid in constrained areas where added lanes would increase pedestrian conflicts, induce speeding, or disrupt existing land use access and best for widen roads.","This design applies SSA by adding raised medians and through lanes to reduce head-on conflicts and guide turns safely. It recognizes humans make mistakes by offering refuge areas and acknowledges human vulnerability by calming speeds, creating a forgiving roadway that minimizes crash severity and advances zero-fatality goals","Agencies should target corridors with high volumes and record of head-on or run-off-road crashes for through-lane additions and raised median installation. Prioritize sites through data-driven corridor screening and safety audits. Integrate median and lane widening into planned resurfacing, major reconstruction, or access-management projects.",Intersection,"Angle, Rear-end, Turning Crash","Failure to yield, Misjudgment of safe gaps, Aggressive behavior",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,Not specified,20,High,Current,Access control; traffic flow; crash barrier; lane increase
treat005,Reduce lane width from 12 ft to 9 ft,"State DOTs, MPOs, Engineering Consultants, Freight/Trucking Associations, Safety Advocacy Groups",2:01,0.57,CMF8163,KABC,Urban,All,4,0.72,CMF8166,All,Urban,Rear end,3,Reducing lane widths can lower vehicle speeds by encouraging cautious driving and increases driver attentiveness due to perceived narrower space.,"Pedestrian refuge islands
","Road diets
",Improve Passing Zone Striping and Signage,"1. Reduce lane widths from standard 12 feet to 9 feet on urban streets with low to moderate speed limits (ó35 mph), particularly in areas with high pedestrian or bicycle activity.
2. Implemented through road diets, striping changes, or full redesigns, narrower lanes cue drivers to slow down, improving reaction time and safety margins in dense traffic.
3. Best used in urban settings with high pedestrian and cyclist activity to calm speeds, but not ideal on high-speed rural highways or freight-heavy corridors where wider lanes are necessary.","This countermeasure promotes safer behavior by redesigning the road to lower speeds and reduce severe crash risk. Narrower lanes discourage speeding and aggressive maneuvers, creating a self-enforcing environment aligned with SSA goals.","Target locations with documented speeding issues or crash clusters involving vulnerable road users. Consider lane narrowing during resurfacing, restriping, or corridor redesign projects. Streets serving schools, transit stops, and commercial corridors are prime candidates. Engage community stakeholders to align with broader multimodal and safety goals.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,"Use combinations of geometric elements to control speeds (horizontal and vertical curves, cross section), including providing design consistency along an alignment ",All,20,Moderate,Current,Lane narrowing; low-cost; urban setting; lower speed; restriping; exposure reduction; speed management; traffic calming; crash severity mitigation
treat006,Install periodic passing lanes on rural two-lane highways,"State DOTs, MPOs, engineering consultants, freight/trucking associations.",3.4:1,0.58,CMF4083,KABC,Rural,All,5,0.65,CMF4082,KABC,Rural,Non-intersection,5,Periodic passing lanes are strategically placed additional lanes on rural two-lane highways that allow faster vehicles to safely pass slower-moving traffic without entering the opposing travel lane.,"Install Climbing Lanes on Long Grades
","Add Turnouts for Slow-Moving Vehicles
",Lane narrowing with bike lanes,"1. Passing lanes are typically installed on rural two-lane highways with high volumes of mixed-speed traffic and few safe passing opportunities.
2. Ideal locations include long grades, limited sight distance, unsafe passing crash histories, and segments balancing construction costs with safety benefits. 3.Best applied on rural highways with heavy trucks and unsafe passing crashes; avoid low-volume roads or environmentally constrained corridors.","This countermeasure aligns with Safe System principles of crash risk reduction, separation, and human error tolerance. It lowers the likelihood of head-on crashes caused by unsafe passing and encourages more predictable driver behavior by reducing pressure to take unsafe risks","Signal visibility upgrades can be applied proactively at intersections with known risk factors, identified through systemic safety analysis or regular signal audits. Locations with aging infrastructure or non-compliant signal equipment may also be prioritized. Improvements may be implemented as part of larger signal retiming or corridor safety projects.",Roadway Departure,Head-on,Driver frustration leading to risky overtaking behavior,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Minimize the likelihood of crashing into an oncoming vehicle,Use alternating passing lanes or four-lane sections at key locations,All,20,Moderate to high,Current,Head-on crash prevention; safe overtaking; rural safety; lane separation
treat007,Four to five lane conversion,"State DOTs, MPOs, urban planners, active road users, engineering consultants.",xx,0.35,CMF10296,All,Urban,All,3,0.42,CMF10293,All,Urban,All,3,"A Road Diet reconfigures a 4-lane road into 5 lanes, freeing space for bike lanes, transit stops, or pedestrian features to improve safety and accessibility.",Curb extensions (bulb-outs),"Raised medians with pedestrian refuges
",Buffered bike lanes with reduced vehicle lanes,"1. Road Diets are suitable for urban or suburban corridors with moderate traffic volumes (typically under 20,000 AADT), high crash rates, or multimodal needs like biking and walking.
2. Reconfigure lane markings to transform four undivided lanes into two through lanes and a center left-turn lane, reallocating excess space for bike lanes, sidewalks, or on-street parking. 3.Not recommended on lower-volume or multimodal urban corridors, as adding a fifth lane can increase crashes and reduce safety for pedestrians and cyclists.",This treatment supports the SSA by promoting safer speeds and minimizing the severity of sideswipe crashes. It aligns with “Safer People” by addressing risky lane-change behavior in urban high-speed corridors. ,"Proactive implementation of Road Diets involves identifying corridors with moderate traffic volumes, crash patterns, and unmet multimodal needs before severe issues arise. Agencies should conduct traffic studies and public outreach to assess feasibility and community support. Implementing a Road Diet early can improve safety, calm traffic, and create space for bikes, pedestrians, and transit users.",Speeding,Sideswipe,Limited passing opportunities,Safe Speeds,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Principal Arterial Other Freeways and Expressways,20,Moderate to High,Current,Lane increase; low-cost; lower speed; four to five
treat008,Five to six lane conversion,"State DOTs, MPOs, engineering consultants, urban planners, active road users.",xx,1.07,CMF9,KABC,Urban,All,4,1.03,CMF7,All,Urban,All,4,"Modifying a five-lane roadway to a six-lane setup frees up room for biking, transit, or pedestrian infrastructure, all focused on better safety and access.",Pedestrian curb extensions,Protected median pedestrian islands,Enhanced Left-Turn Channelization,"1. Urban and suburban corridors with moderate traffic volumes (usually below 20,000 AADT), high crash frequency, or strong pedestrian and bicycle activity are good candidates for Road Diets.
2.Modify lane markings to transition from four undivided lanes to two travel lanes with a center left-turn lane, reallocating extra space for bike lanes, sidewalks, or on-street parking. 3.Not recommended on lower-volume urban corridors, where added lanes may increase crashes and reduce multimodal safety.",This countermeasure advances the Safe System Approach by managing vehicle speeds and reducing the likelihood and severity of sideswipe collisions. It supports the ‘Safer People’ pillar by addressing unsafe lane-changing behaviors common in fast-moving urban corridors,"Proactively implementing Road Diets means targeting corridors with moderate traffic, crash trends, and multimodal gaps before serious safety issues emerge. Agencies should perform traffic evaluations and involve the community to determine feasibility and support. Early implementation helps improve safety, slow down traffic, and better accommodate pedestrians, cyclists, and transit users.",Speeding,Sideswipe,Limited passing opportunities,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Principal Arterial Other Freeways and Expressways,20,High,Current,Lane increase; low-cost; lower speed; five to six
treat009,Road diet (Convert 4-lane undivided road to 2-lanes plus turning lane),"State DOTs, MPOs, City Traffic or Public Works Department, active road users, engineering consultants.",xx,0.36,CMF11129,KABC,Urban,All,3,0.41,CMF11136,KABC,Urban,All,3,"A Road Diet enhances safety by reducing conflict points and vehicle speeds, and is commonly implemented on urban or suburban roads with moderate traffic volumes.",Curb extensions (bulb-outs),Improve Intersection Design,Roundabout conversion,"1.It can be installed on urban or suburban roads with moderate traffic volumes, typically under 20,000 vehicles per day
2. It is ideal for corridors with a history of crashes, excessive speeding, or inadequate pedestrian and bicycle infrastructure. Road Diets are also effective in areas seeking to improve multimodal access and enhance streetscape livability.
3. Not recommended on high-volume roads over 20,000 vehicles daily or primary freight/emergency corridors causing congestion.","Road diets reduce vehicle speeds, manage lane use, and protect vulnerable users, supporting shared responsibility, proactive safety, and redundancy while acknowledging human mistakes and preventing severe crashes within the Safe System framework.","Proactive implementation of a Road Diet targets urban or suburban roads with moderate traffic and crash history, ideally during resurfacing projects. Key considerations include traffic flow, emergency access, transit coordination, and community engagement to ensure safe, multimodal use.",Speeding,Left turn,"High speed, Frequent lane changes",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,"Use combinations of geometric elements to control speeds (horizontal and vertical curves, cross section), including providing design consistency along an alignment ",Minor Arterial,20,High,Current,Road reconfiguration; conflict reduction; multimodal safety; lane reallocation
treat017m,Provide a Right-Turn Lane,"State DOTs, MPOs, engineering consultants, transit agencies, active road users.",4.9:1 to 16.9:1,0.77,CMF287,KABC,All,All,4,0.74,CMF289,All,All,All,4,"Adding right-turn lanes on one or both major-road approaches improves traffic operations by separating turning and through movements, helping to enhance roadway capacity and reduce crash risk.",Right-turn lanes on one or both major-road approaches ,Channelized right turn lane,Roundabout conversion,"1. Apply on one or both major-road approaches with high right-turn volumes or crash history, reducing delays and collisions by separating turning traffic.
2. Ensure pedestrian and bicyclist safety with proper markings, signals, and protected crossings in the turn lane design.
3. Not recommended on low-volume roads or intersections where right-turn demand is minimal, or where adding a turn lane would create pedestrian and bicyclist safety risks without clear operational benefits.","Providing a right-turn lane separates movements, reduces conflicts, and protects vulnerable users, supporting shared responsibility, proactive safety, and redundancy while addressing human mistakes and preventing severe crashes in the Safe System framework.",Proactively implement dedicated right-turn lanes at intersections showing rising turn volumes or minor crash trends. Use traffic studies to guide placement and ensure designs include pedestrian and bicyclist safety features.,Intersection,"Right-turn, Angle","Stopped vehicle in through lane, Slower Reaction Time",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Provide right-turn lanes at intersections,"Principal Arterial, Minor Arterial",20,Moderate,Current,Dedicated turn lane; reduce delay; minimize rear-end and turning conflicts
treat019,Improve angle of channelized right turn lane,"State DOTs, MPOs, engineering consultants. urban planners, active road users.",N/A,0.564,CMF8429,KABC,All,All,3,0.397,CMF8431,All,All,Right turn,4,"Sharpening the angle of a channelized right-turn lane?bringing it closer to 90 degrees?slows turning vehicles, improves visibility of pedestrians and cyclists, and reduces crash severity at intersections.","Curb Radius Reduction
","High-Visibility Crosswalks
",Curb Radius Reduction,"1. Apply at intersections with high pedestrian volumes to reduce turning speed and improve crosswalk visibility.
2. Use during roadway reconstruction or resurfacing to cost-effectively modify geometry for enhanced pedestrian safety.
3. Not recommended where right-turn demand is low, space is constrained, or redesign causes major property impacts without significant safety benefits.","Improving channelized right-turn angles reduces conflicts and speeds, supports shared responsibility, addresses human mistakes, and ensures proactive, redundant safety through safer geometry, markings, and crossings for vulnerable users.","Identify intersections with frequent pedestrian or turning-related crashes using crash data and field reviews. Implement sharper right-turn angles during resurfacing or capital projects. Use temporary curb extensions or striping as interim solutions. Prioritize locations near schools, transit stops, and dense pedestrian zones to enhance safety before severe incidents occur.",Intersection,Right-turn,"Sharp turning angles causing difficulty for large vehicles, Speeding",Safe Roads,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,Provide/improve right-turn channelization ,Not specified,20,Moderate,Current,Right-turn lane; channelization; turning radius improvement; conflict angle reduction; large vehicle accommodation; intersection safety
treat020m,Change right-turn lane geometry to increase line of sight,"State DOTs, MPOs, engineering consultants. urban planners and traffic engineers, active road users.",13.8:1,0.564,CMF8497,KABC,Urban,All,4,0.404,CMF8499,All,All,Right turn,4,"Modifying the geometry of right-turn lanes to improve the driver’s line of sight is a safety-focused design strategy aimed at reducing crash risk, particularly between vehicles and pedestrians or bicyclists.","Right-Turn on Red (RTOR) Restriction
","Corner Extensions (Curb Extensions/Bulb-outs)
",Curb Radius Reduction,"1. Apply at intersections or approach levels with documented pedestrian or cyclist crashes where drivers make free-flow or channelized right turns without adequate visibility of crosswalks.
2. Use at skewed or high-speed approaches where turning angles and visual obstructions limit drivers’ view of cross traffic.
3. Not recommended at low-volume roads or where redesign requires major property impacts, right-of-way acquisition, or offers minimal safety benefits.","Changing right-turn lane geometry improves sight distance, reduces severe conflicts, supports shared responsibility, addresses human mistakes, and ensures proactive, redundant safety through safer design, markings, and signals protecting vulnerable users.","Proactive implementation involves identifying intersections with potential visibility issues or pedestrian conflict risks even in the absence of high crash history and redesigning right-turn lanes to improve sightlines, reduce speeds, and enhance safety. This approach supports Vision Zero goals by anticipating human error and addressing risk factors before severe incidents occur, especially during routine upgrades or signal projects.",Intersection,Right-turn,"Failure to yield, Misjudgment of safe gaps, Limited sight distance",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Provide offset right-turn lanes at intersections or realign intersection approaches.,All,20,Moderate to High,Current,Right-turn geometry; line of sight; turning safety; channelization; intersection visibility; improved angle
