CountermeasureID,Countermeasure,AreaType,minCMF,maxCMF,RoadType,minStarQuality,maxStarQuality,min_MinAADT,min_MaxAADT,CMF1 (min),CMF2 (max),CMF3 (mean),Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,Key Stakeholder,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type_TBD,Benefit-cost ratio,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool,id,img
treat001,Widen Narrow Pavement,Rural,0.446,0.705,Not specified,4,5,487,7417,CMF6864,CMF6865,CMF6863,"Widening narrow pavement improves traffic flow and capacity, and can accommodate adding features like shoulders, turn lanes, or passing lanes.","Shoulder widening
","Centerline and rumble strips
",Clear zone improvements,"State DOTs, Local Transportation Agencies","1. Widen pavement widths on rural highways where lanes are narrow and maneuvering space is limited, particularly in areas with a history of run-off-road or head-on crashes.
2. Pavement widening improves driver comfort and control, allowing safer passage of vehicles and reducing crash risk associated with constrained roadways.
3. Priority locations include horizontal curves and segments with limited shoulder widths, where narrow lanes contribute to increased crash risk.","By expanding maneuvering space, widened pavement reduces driver workload and compensates for errors in steering or attention, thus enhancing overall roadway safety consistent with SSA principles.",Focus widening efforts on rural roads exhibiting narrow lanes combined with high crash rates. Use crash and roadway inventory data to identify segments where narrow pavement contributes most to run-off-road and head-on crashes. Integrate pavement widening with other roadway improvements for cost efficiency and maximum safety benefit.,Roadway departure,"Run-off-road, Head-on",Reduced maneuvering space,Safe Roads,Tier 1: Remove severe conflicts,Improved Safety management,Keep vehicles from encroaching on the roadside,Apply shoulder treatments (Widen and/or pave shoulders),Not specified,2:1,20,Moderate to High,Current,Pavement width; head-on collision reduction; lane expansion; safety improvement,1,treat001.PNG
treat002,Add a through lane on both directions and a raised median,All,0.32,0.71,Not specified,4,4,,,CMF7732,CMF7734,CMF7735,Extra through lanes in each direction with a raised central median to improve traffic flow and safety.,Convert 2 L roadway to 4 L divided roadway,Introduce TWLTL on rural two lane roads,Five to six lane conversion,"State DOTs, Local Government, Traffic Safety Engineers, Urban Planners. ","1. This treatment is best suited for undivided 2-lane highways experiencing high volumes, frequent head-on or opposite-direction run-off-road crashes, and limited safe passing opportunities.
2. A raised median separates opposing flows, channels left-turns to safe crossover points, and offers refuge space.
3. Best applied during widening or corridor reconstruction when capacity, safety, and access-management needs align.","This design upholds SSA principles by dividing traffic with a raised median and adding through lanes, which removes head-on conflicts and organizes turning movements into protected zones. The clear separation and refuge areas anticipate errors, calm speeds, and offer recovery space, cultivating a forgiving corridor that aligns with a zero-fatalities vision.",,Intersection,"Angle, Rear-end, Turning","Failure to yield, Misjudgment of safe gaps, Aggressive behavior",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,Not specified,xx,20,High,Current,Access control; traffic flow; crash barrier; lane increase,2,treat002.PNG
treat005,Reduce lane width from 12 ft to 9 ft,Urban,0.57,0.57,All,4,4,100,19480,CMF8163,,,Reducing lane widths can lower vehicle speeds by encouraging cautious driving and increases driver attentiveness due to perceived narrower space.,"Pedestrian refuge islands
","Road diets
",Buffered bike lanes,"City Transportation Departments,
Urban Planners","1. Reduce lane widths from standard 12 feet to 9 feet on urban streets with low to moderate speed limits (ó35 mph), particularly in areas with high pedestrian or bicycle activity.
2. Can be implemented as part of a road diet, striping changes, or full roadway redesign.
3. Narrower lanes visually and psychologically cue drivers to reduce speed, improving reaction time and safety margins in dense traffic settings.","This countermeasure encourages safer operating behavior by changing the physical design of the road to support lower speeds and minimize the potential for severe crashes. Narrower lanes naturally discourage speeding and aggressive maneuvers, creating a self-enforcing environment aligned with SSA goals.","Target locations with documented speeding issues or crash clusters involving vulnerable road users. Consider lane narrowing during resurfacing, restriping, or corridor redesign projects. Streets serving schools, transit stops, and commercial corridors are prime candidates. Engage community stakeholders to align with broader multimodal and safety goals.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,"Use combinations of geometric elements to control speeds (horizontal and vertical curves, cross section), including providing design consistency along an alignment ",All,2:1,20,Moderate,Current,Lane narrowing; low-cost; urban setting; lower speed; restriping; exposure reduction; speed management; traffic calming; crash severity mitigation,3,treat005.PNG
treat006,Install periodic passing lanes on rural two-lane highways,Rural,0.58,0.65,Principal Arterial Other,5,5,1655,7031,CMF4083,CMF4082,,Periodic passing lanes are strategically placed additional lanes on rural two-lane highways that allow faster vehicles to safely pass slower-moving traffic without entering the opposing travel lane.,"Install Climbing Lanes on Long Grades
","Add Turnouts for Slow-Moving Vehicles
",Improve Passing Zone Striping and Signage,"State DOTs, local law enforcement agencies","1. Passing lanes are typically installed on rural two-lane highways with high volumes of mixed-speed traffic and few safe passing opportunities.
2. Ideal locations include segments with: Long grades where heavy vehicles reduce travel speed, Limited sight distance due to curves or hills, Historical crash patterns involving unsafe passing or rear-end collisions, Spacing is often designed to balance construction costs with operational and safety benefits, and may alternate sides to serve both directions.","This countermeasure aligns with Safe System principles of crash risk reduction, separation, and human error tolerance. It lowers the likelihood of head-on crashes caused by unsafe passing and encourages more predictable driver behavior by reducing pressure to take unsafe risks.","Signal visibility upgrades can be applied proactively at intersections with known risk factors, identified through systemic safety analysis or regular signal audits. Locations with aging infrastructure or non-compliant signal equipment may also be prioritized. Improvements may be implemented as part of larger signal retiming or corridor safety projects.",Roadway departure,Head-on,Driver frustration leading to risky overtaking behavior,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Minimize the likelihood of crashing into an oncoming vehicle,Use alternating passing lanes or four-lane sections at key locations,Principal Arterial Other,3.4:1,20,Moderate to high,Current,Head-on crash prevention; safe overtaking; rural safety; lane separation,4,treat006.PNG
treat007,Four to five lane conversion,Urban,1.1,1.11,"Principal Arterial Other, Freeways and Expressways",5,5,79000,128000,CMF5,CMF4,,"A Road Diet reconfigures a 4-lane road into 5 lanes, freeing space for bike lanes, transit stops, or pedestrian features to improve safety and accessibility.",Curb extensions (bulb-outs),"Raised medians with pedestrian refuges
",Lane narrowing with bike lanes,"Agency maintenance personnel, DOT, Active road users","1. Road Diets are suitable for urban or suburban corridors with moderate traffic volumes (typically under 20,000 AADT), high crash rates, or multimodal needs like biking and walking.
2. Reconfigure lane markings to transform four undivided lanes into two through lanes and a center left-turn lane, reallocating excess space for bike lanes, sidewalks, or on-street parking, in accordance with FHWA design guidelines and local conditions.",This treatment supports the SSA by promoting safer speeds and minimizing the severity of sideswipe crashes. It aligns with ?Safer People? by addressing risky lane-change behavior in urban high-speed corridors,"Proactive implementation of Road Diets involves identifying corridors with moderate traffic volumes, crash patterns, and unmet multimodal needs before severe issues arise. Agencies should conduct traffic studies and public outreach to assess feasibility and community support. Implementing a Road Diet early can improve safety, calm traffic, and create space for bikes, pedestrians, and transit users.",Speeding,Sideswipe,Limited passing opportunities,Safe Speeds,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Principal Arterial Other Freeways and Expressways,xx,20,Moderate to High,Current,Lane increase; low-cost; lower speed; four to five,5,treat007.PNG
treat008,Five to six lane conversion,Urban,1.03,1.07,"Principal Arterial Other, Freeways and Expressways",4,4,77000,126000,CMF7,CMF9,CMF8,"Modifying a five-lane roadway to a six-lane setup frees up room for biking, transit, or pedestrian infrastructure, all focused on better safety and access.",Pedestrian curb extensions,Protected median pedestrian islands,Buffered bike lanes with reduced vehicle lanes,"City Transportation Departments,
Urban Planners, Traffic Engineers","1. Urban and suburban corridors with moderate traffic volumes (usually below 20,000 AADT), high crash frequency, or strong pedestrian and bicycle activity are good candidates for Road Diets.
2.Modify lane markings to transition from four undivided lanes to two travel lanes with a center left-turn lane, reallocating extra space for bike lanes, sidewalks, or on-street parking, based on FHWA guidance and local conditions.",This countermeasure advances the Safe System Approach by managing vehicle speeds and reducing the likelihood and severity of sideswipe collisions. It supports the ‘Safer People’ pillar by addressing unsafe lane-changing behaviors common in fast-moving urban corridors.,"Proactively implementing Road Diets means targeting corridors with moderate traffic, crash trends, and multimodal gaps before serious safety issues emerge. Agencies should perform traffic evaluations and involve the community to determine feasibility and support. Early implementation helps improve safety, slow down traffic, and better accommodate pedestrians, cyclists, and transit users.",Speeding,Sideswipe,Limited passing opportunities,Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,Principal Arterial Other Freeways and Expressways,xx,20,High,Current,Lane increase; low-cost; lower speed; five to six,6,treat008.PNG
treat009,Road diet (Convert 4-lane undivided road to 2-lanes plus turning lane),Urban,0.53,0.71,Minor Arterial; Not specified,4,5,2600,13900,CMF11135,CMF199,CMF11128,"A Road Diet enhances safety by reducing conflict points and vehicle speeds, and is commonly implemented on urban or suburban roads with moderate traffic volumes.",Curb extensions (bulb-outs),Improve Intersection Design,Enhanced Left-Turn Channelization,"State DOT, Local enforcement, active road users","1.It can be installed on urban or suburban roads with moderate traffic volumes, typically under 20,000 vehicles per day
2. It is ideal for corridors with a history of crashes, excessive speeding, or inadequate pedestrian and bicycle infrastructure. Road Diets are also effective in areas seeking to improve multimodal access and enhance streetscape livability.
3. MUTCD supports Road Diet components through guidance on turn lanes, bike lanes, and lane reductions","Supports the Safe System Approach by reducing speeds and sideswipe crash, aligning with ?Safer People? by addressing risky lane changes. As a Tier 2 measure, the road diet manages flow and discourages aggressive driving on arterials without removing conflict points.","Proactive implementation of a Road Diet targets urban or suburban roads with moderate traffic and crash history, ideally during resurfacing projects. Key considerations include traffic flow, emergency access, transit coordination, and community engagement to ensure safe, multimodal use.",Speeding,Left turn,"High speed, Frequent lane changes",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,"Use combinations of geometric elements to control speeds (horizontal and vertical curves, cross section), including providing design consistency along an alignment ",Minor Arterial,xx,20,High,Current,Road reconfiguration; conflict reduction; multimodal safety; lane reallocation,7,treat009.PNG
treat017,Provide a right-turn lane on one major-road approach,All,0.77,0.96,Not specified,4,4,,,CMF287,CMF286,CMF285,"The FHWA defines ""Provide a right-turn lane on one major-road approach"" as a safety and operational enhancement that separates through and turning traffic to improve both capacity and safety.",Dedicated left turn lane,Chanelized right turn lane,Roundabout conversion,"State DOT, Local enforcement, active road users","1. Apply where right-turn volumes are high or crash history indicates need. It helps reduce delays and collisions by separating turning traffic.
2. Ensure pedestrian and bicyclist safety with proper markings, signals, and protected crossings in the turn lane design.
3. The FHWA identifies adding a right-turn lane on one major-road approach as a proven strategy to improve intersection safety and operational efficiency.","Dedicated right-turn lanes support the Safe System approach by reducing conflicts, improving flow, and enhancing sight distance at busy intersections.",Proactively implement dedicated right-turn lanes at intersections showing rising turn volumes or minor crash trends. Use traffic studies to guide placement and ensure designs include pedestrian and bicyclist safety features.,Intersection,"Right-turn, Angle","Slowing or stopped vehicles in the through lane, slower reaction time",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Provide right-turn lanes at intersections,Not Specified,4.9:1,20,Moderate,Current,Dedicated turn lane; reduce delay; minimize rear-end and turning conflicts,8,treat017.PNG
treat018,Provide a right-turn lane on both major-road approaches,All,0.74,0.92,Not specified,4,4,,,CMF289,CMF290,,"Adding right-turn lanes on both major-road approaches improves traffic operations by separating turning and through movements, helping to enhance roadway capacity and reduce crash risk.", Exclusive left-turn lane,Guided right-turn channel,Intersection redesign to roundabout,"State DOT, Local enforcement, active road users","1. Use in locations with high right-turn volumes or crash patterns indicating operational or safety concerns. Separating turning traffic can reduce delays and conflict points.
2. Incorporate clear pavement markings, appropriate signalization, and protected crossings to ensure the safety of pedestrians and bicyclists in the turn lane design.
3. Adding right-turn lanes on both major-road approaches is recognized as an effective strategy for enhancing intersection safety and improving traffic flow.","Exclusive right-turn lanes advance the Safe System approach by minimizing vehicle conflicts, optimizing traffic movement, and improving visibility at high-volume intersections.","Proactively install dedicated right-turn lanes at intersections with increasing turn volumes or emerging crash patterns. Use traffic analysis to determine optimal placement, and incorporate safety features for pedestrians and bicyclists in the design.",Intersection,"Right-turn, Angle","Slowing or stopped vehicles in the through lane, slower reaction time",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the frequency and severity of intersection conflicts through geometric design improvements,Provide right-turn lanes at intersections,Not Specified,16.9:1,20,Moderate,Current,Dual turn lanes; reduce intersection delay; separate movements; improve flow,9,treat018.PNG
treat019,Improve angle of channelized right turn lane,All,0.397,0.558,Not specified,4,4,,,CMF8431,CMF8428,CMF8430,"Sharpening the angle of a channelized right-turn lane?bringing it closer to 90 degrees?slows turning vehicles, improves visibility of pedestrians and cyclists, and reduces crash severity at intersections","Curb Radius Reduction
","High-Visibility Crosswalks
",Raised Crosswalks or Intersections,"State and Local Departments of Transportation (DOTs), City Traffic Engineers and Planners.","1. Apply at intersections with high pedestrian volumes to reduce turning speed and improve crosswalk visibility.
2. Use during roadway reconstruction or resurfacing to cost-effectively modify geometry for enhanced pedestrian safety.
3. The FHWA states ?Channelized right-turn lanes designed with sharper angles and tighter curb radii can reduce vehicle turning speeds and improve pedestrian safety.?","This treatment supports the Safe System Approach by contributing to Safer Roads and Safer Speeds. By reducing vehicle speeds and increasing visibility at a key point of conflict, it accounts for human limitations in perception and decision-making and provides a more forgiving roadway environment.","Identify intersections with frequent pedestrian or turning-related crashes using crash data and field reviews. Implement sharper right-turn angles during resurfacing or capital projects. Use temporary curb extensions or striping as interim solutions. Prioritize locations near schools, transit stops, and dense pedestrian zones to enhance safety before severe incidents occur.",Intersection,Right-turn,"Sharp turning angles causing difficulty for large vehicles, Excessive vehicle speeds when entering the right-turn lane",Safe Roads,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Reduce frequency and severity of intersection conflicts through geometric improvements,Provide/improve right-turn channelization ,Not specified,,20,Moderate,Current,Right-turn lane; channelization; turning radius improvement; conflict angle reduction; large vehicle accommodation; intersection safety,10,treat019.PNG
